datetime,temperature
2000-01-01 00:00:00+00:00,-0.1
2000-01-01 01:00:00+00:00,-0.2
2000-01-01 02:00:00+00:00,-0.1
2000-01-01 03:00:00+00:00,-0.2
2000-01-01 04:00:00+00:00,-0.2
